Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
EDIMSGD,EMSD,Message mapping detail,Common Data,EDIX3,,,AOBJEXTR  (Transcribe import/export  ),__||__MSGCOD(Message mapping ID) +   MSGREL(Version) +   SORT(Sort) +   ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   NUMLIN(Line) +   __||__ ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   NUMLIN(Line) +    __||__   MSGCOD(Message mapping ID) +   MSGREL(Version) +   SORT(Sort) +   
EDIPAR,EDP,Message setup,A/P-A/R accounting,,,,"BANK  (Bank accounts  ) , EDISEG  (Segments  )",,MES(Message) +   BAN(Bank) +   GRP(Group) +   ORDNUM(Order) +   ,MES(Message) +   BAN(Bank) +   GRP(Group) +   ORDNUM(Order) +   
SORDERC,SOC,Sales orders - early / late,Sales,,Sales,Cumulative Sales Orders,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , BPCUSTOMER  (Customers  ) , TABVACITM  (Tax level table  ) , SPRICCONF  (Customer pricing parameters  )",__||__BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +   __||__,SOHNUM(Order no.) +   SOPLIN(Line) +   __||__ __||__ CUSORDREF(Customer order ref) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREFBPC(Customer product) +   ,SOHNUM(Order no.) +   SOPLIN(Line) +    __||__   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +    __||__   CUSORDREF(Customer order ref) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREFBPC(Customer product) +   
EDIPARTNER,EPR,EDI partners,Common Data,EDIX3,,,EDIPARTNER  (EDI partners  ),,PARCOD(Code) +   ,PARCOD(Code) +   
EDIPARTNERD,EPRD,EDI partners,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )",__||____||____||__PARCOD(Code) +   CATTYP(Category type) +   ,PARCOD(Code) +   NUMLIN(Line number) +   __||__ PARCOD(Code) +   SORT(Sort) +   __||__ PARCOD(Code) +   CATCOD(Category code) +   CATACT(Action) +   __||__ ,PARCOD(Code) +   NUMLIN(Line number) +    __||__   PARCOD(Code) +   SORT(Sort) +    __||__   PARCOD(Code) +   CATCOD(Category code) +   CATACT(Action) +    __||__   PARCOD(Code) +   CATTYP(Category type) +   
SORDERP,SOP,Sales orders - price,Sales,,Sales,"Quotation,Normal Sales Orders,Cumulative Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PREPINVOICE  (  ) , SALESREP  (Sales rep  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , TABINVCND  (  )",__||__BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +   ENDDAT(Validity end date) +   __||__SOQSTA(Line status) +   SOHCAT(Order category) +   STOFCY(Shipment site) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   __||__SOHNUM(Order no.) +   SOPLIN(Line) +   __||__SOQSTA(Line status) +   SOHCAT(Order category) +   SALFCY(Sales site) +   BPCINV(Bill-to customer) +   ,SOHNUM(Order no.) +   SOPLIN(Line) +   SOPSEQ(Sequence) +   __||__ __||__ __||__ __||__ ,SOHNUM(Order no.) +   SOPLIN(Line) +   SOPSEQ(Sequence) +    __||__   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +   ENDDAT(Validity end date) +    __||__   SOQSTA(Line status) +   SOHCAT(Order category) +   STOFCY(Shipment site) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +    __||__   SOHNUM(Order no.) +   SOPLIN(Line) +    __||__   SOQSTA(Line status) +   SOHCAT(Order category) +   SALFCY(Sales site) +   BPCINV(Bill-to customer) +   
EDIPTCD,EPTD,Protocol detail,Common Data,EDIX3,,,AVOLUME  (Volume  ),__||__PTCCOD(Protocol) +   SORT(Sort) +   ,PTCCOD(Protocol) +   NUMLIN(Line number) +   __||__ ,PTCCOD(Protocol) +   NUMLIN(Line number) +    __||__   PTCCOD(Protocol) +   SORT(Sort) +   
SORDERQ,SOQ,Sales orders - quantities,Sales,,Sales,"Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PJMPRGBILH  (  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , BPCUSTOMER  (Customers  ) , PJMSOLITMH  (  )",__||__STOFCY(Shipment site) +   SHIDAT(Shipment date) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +   __||__ITMREF(Product) +   SHIDAT(Shipment date) +   __||____||__SOQSTA(Line status) +   SOHCAT(Order category) +   STOFCY(Shipment site) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   __||__,SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   __||__ __||__ __||__ SOQSTA(Line status) +   SHIDAT(Shipment date) +   DLVPIOCMP(Compl priority del) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   __||__ __||__ SHIDAT(Shipment date) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   ,SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +    __||__   STOFCY(Shipment site) +   SHIDAT(Shipment date) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +   ITMREF(Product) +    __||__   ITMREF(Product) +   SHIDAT(Shipment date) +    __||__   SOQSTA(Line status) +   SHIDAT(Shipment date) +   DLVPIOCMP(Compl priority del) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +    __||__   SOQSTA(Line status) +   SOHCAT(Order category) +   STOFCY(Shipment site) +   BPCORD(Sold-to) +   BPAADD(Delivery address) +    __||__   SHIDAT(Shipment date) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   
EDIRUN,EDR,Process launch,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )",,NUM(Process number) +   ,NUM(Process number) +   
EDIRUND,EDRD,Process launch,Common Data,EDIX3,,,,__||__,NUM(Process number) +   NUMLIN(Line number) +   __||__ NUM(Process number) +   SORT(Sort) +   ,NUM(Process number) +   NUMLIN(Line number) +    __||__   NUM(Process number) +   SORT(Sort) +   
SQUOTED,SQD,Quote detail,Sales,,Sales,"Quotation,Normal Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , SALESREP  (Sales rep  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , PJMSOLITMH  (  )",__||__ORDFLG(Ordered) +   SALFCY(Sales site) +   BPCORD(Sold-to) +   ,SQHNUM(Quote no.) +   SQDLIN(Quote line) +   __||__ ,SQHNUM(Quote no.) +   SQDLIN(Quote line) +    __||__   ORDFLG(Ordered) +   SALFCY(Sales site) +   BPCORD(Sold-to) +   
EDISEG,EDS,Segments,A/P-A/R accounting,,,,,,SEG(Segment) +   LIG(Line) +   ,SEG(Segment) +   LIG(Line) +   
SRETURND,SRD,Sales return detail,Sales,,Sales,"Sales Invoice,Sales Returns","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  )",__||__SDHNUM(Delivery no.) +   SDDLIN(Delivery line) +   __||__SIHNUM(Credit memo no.) +   RTNCNOFLG(Credit memo subject) +   ,SRHNUM(Return no.) +   SRDLIN(Return line) +   __||__ __||__ ,SRHNUM(Return no.) +   SRDLIN(Return line) +    __||__   SDHNUM(Delivery no.) +   SDDLIN(Delivery line) +    __||__   SIHNUM(Credit memo no.) +   RTNCNOFLG(Credit memo subject) +   
EDISEQFILD,ESFD,Sequential file detail,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  ),__||__MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   SORT(Sort) +   ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   NUMLIN(Line) +   __||__ ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   NUMLIN(Line) +    __||__   MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   SORT(Sort) +   
EDISEQFILF,ESFF,Sequential files,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  ),__||__MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   SORT(Sort) +   ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   NUMLIN(Line) +   __||__ ,MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   NUMLIN(Line) +    __||__   MSGCOD(Message mapping ID) +   MSGREL(Version) +   MSGFILNOR(File standard) +   SORT(Sort) +   
EDISTO,EST,Temp storage space,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )",,NUMBATCH(Batch no.) +   KEYDOC(Key) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   
EDISTOC,ESTC,Text file (clob),Common Data,EDIX3,,,,,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +   
TABSOHTYP,TSO,Order type table,Sales,,Sales,"Normal Sales Orders,Cumulative Sales Orders","ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABSDHTYP  (Table types deliveries  ) , TABSOHTYP  (Order type table  )",__||__SOHTYP(Order type) +   ,SOHTYP(Order type) +   LEG() +   __||__ ,SOHTYP(Order type) +   LEG() +    __||__   SOHTYP(Order type) +   
EDISTOE,ESTE,Events,Common Data,EDIX3,,,,__||__NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +   __||__ ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +    __||__   NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +   
EDISTOF,ESTF,Flow detail,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  ),__||__NUMBATCH(Batch no.) +   KEYDOC(Key) +   FLOCOD(Flow ID) +   FLOREL(Version) +   SORT(Sort) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   FLOCOD(Flow ID) +   FLOREL(Version) +   NUMLIN(Line) +   __||__ ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   FLOCOD(Flow ID) +   FLOREL(Version) +   NUMLIN(Line) +    __||__   NUMBATCH(Batch no.) +   KEYDOC(Key) +   FLOCOD(Flow ID) +   FLOREL(Version) +   SORT(Sort) +   
TABSQHTYP,TSQ,Quote type table,Sales,,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABSOHTYP  (Order type table  ) , TABSQHTYP  (Quote type table  )",__||__SQHTYP(Quote type) +   ,SQHTYP(Quote type) +   LEG(Legislation) +   __||__ ,SQHTYP(Quote type) +   LEG(Legislation) +    __||__   SQHTYP(Quote type) +   
EDISTOJ,ESTJ,Error,Common Data,EDIX3,,,,__||__NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +   __||__ ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +    __||__   NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +   
EDISTOU,ESTU,Storage,Common Data,EDIX3,,,ACLASSE  (Classes  ),__||__NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +   __||__,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +   __||__ __||__ NUMBATCH(Batch no.) +   KEYDOC(Key) +   CODE(Code) +   ,NUMBATCH(Batch no.) +   KEYDOC(Key) +   NUMLIN(Line) +    __||__   NUMBATCH(Batch no.) +   KEYDOC(Key) +   SORT(Sort) +    __||__   NUMBATCH(Batch no.) +   KEYDOC(Key) +   CODE(Code) +   
TABSRHTYP,TRE,Return type table,Sales,,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABSRHTYP  (Return type table  )",__||__SRHTYP(Return type) +   ,SRHTYP(Return type) +   LEG(Legislation) +   __||__ ,SRHTYP(Return type) +   LEG(Legislation) +    __||__   SRHTYP(Return type) +   
EDITMPLOG,EDL,Log,Common Data,EDIX3,,,,__||__NUMBATCH(Batch no.) +   __||__DOCID(Identifier) +   __||__,NUMBATCH(Batch no.) +   DOCID(Identifier) +   CATTYP(Category type) +   SORT(Sort) +   __||__ __||__ __||__ NUMBATCH(Batch no.) +   DOCID(Identifier) +   CATTYP(Category type) +   FLOSTP(Flow step) +   SORT(Sort) +   ,NUMBATCH(Batch no.) +   DOCID(Identifier) +   CATTYP(Category type) +   SORT(Sort) +    __||__   NUMBATCH(Batch no.) +    __||__   DOCID(Identifier) +    __||__   NUMBATCH(Batch no.) +   DOCID(Identifier) +   CATTYP(Category type) +   FLOSTP(Flow step) +   SORT(Sort) +   
EDITRKDOC,EDK,Documents,Common Data,EDIX3,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , EDICAT  (EDI category  )",__||__FLOCOD(Flow ID) +   FLOREL(Version) +   CPY(Company) +   FCY(Site) +   BPRNUM(BP) +   BPAADD(Address) +   __||__DOCID(Identifier) +   CATTYP(Category type) +   FLOCOD(Flow ID) +   FLOREL(Version) +   __||__FLOCOD(Flow ID) +   FLOREL(Version) +   DOCID(Identifier) +   ,DOCID(Identifier) +   CATTYP(Category type) +   NUMLIN(Sequence number) +   __||__ __||__ __||__ ,DOCID(Identifier) +   CATTYP(Category type) +   NUMLIN(Sequence number) +    __||__   FLOCOD(Flow ID) +   FLOREL(Version) +   CPY(Company) +   FCY(Site) +   BPRNUM(BP) +   BPAADD(Address) +    __||__   DOCID(Identifier) +   CATTYP(Category type) +   FLOCOD(Flow ID) +   FLOREL(Version) +    __||__   FLOCOD(Flow ID) +   FLOREL(Version) +   DOCID(Identifier) +   
EDTDADSU,EDU,DADSU file print,Financials,DAS,,,,REFSND(Query number) +   __||____||__GRP(Group) +   ,__||__ REFSND(Query number) +   NUMLIN(Line) +   __||__ ,REFSND(Query number) +    __||__   REFSND(Query number) +   NUMLIN(Line) +    __||__   GRP(Group) +   
EVENTTRNP,EVT,Transport incident,Purchasing,,,,ATABDIV  (Miscellaneous tables  ),,TRNNUM(Transport no.) +   EVTNUM(Line) +   ,TRNNUM(Transport no.) +   EVTNUM(Line) +   
EDTTDS,ETD,TDS file report,Financials,DAS,,,,,SIREN(Company tax ID no.) +   CRN(Site tax ID no.) +   RECTYP(Record type) +   NUMLIN(Line) +   NUM(Order no.) +   ,SIREN(Company tax ID no.) +   CRN(Site tax ID no.) +   RECTYP(Record type) +   NUMLIN(Line) +   NUM(Order no.) +   
EFASACT,E21,Evt - update,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PARWIPACCS,SWA,Wipcost-interface parameter,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )",,LEG(Legislation) +   CPY(Company) +   TXNTYP(Transaction type) +   ,LEG(Legislation) +   CPY(Company) +   TXNTYP(Transaction type) +   
EFASAFFAGE,E22,Evt - analytical/geo transfer,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASCCN,E53,Evt - concession attribute update,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PINVOICED,PID,Purchase invoice detail,Purchasing,,"Accounting,Purchasing,Sales","Payment,Purchase Invoice,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , FRECST  (Cost  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  ) , TABPIVTYP  (Supp invoice type table  )",__||____||____||____||__POHNUM(Order no.) +   POPLIN(PO line) +   POQSEQ(Sequence number) +   ,NUM(Document no.) +   PIDLIN(Line) +   __||__ TYPORI(Line origin) +   NUMORI(Source number) +   LINORI(Source line) +   SEQORI(Original sequence) +   NUM(Document no.) +   PIDLIN(Line) +   __||__ ITMREF(Product) +   NUM(Document no.) +   PIDLIN(Line) +   __||__ BPR(BP) +   INVTYP(Invoice category) +   ITMREF(Product) +   NUM(Document no.) +   PIDLIN(Line) +   __||__ ,NUM(Document no.) +   PIDLIN(Line) +    __||__   TYPORI(Line origin) +   NUMORI(Source number) +   LINORI(Source line) +   SEQORI(Original sequence) +   NUM(Document no.) +   PIDLIN(Line) +    __||__   ITMREF(Product) +   NUM(Document no.) +   PIDLIN(Line) +    __||__   BPR(BP) +   INVTYP(Invoice category) +   ITMREF(Product) +   NUM(Document no.) +   PIDLIN(Line) +    __||__   POHNUM(Order no.) +   POPLIN(PO line) +   POQSEQ(Sequence number) +   
EFASCCNAGE,E34,Evt - provision transfer,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASCCNCNL,E32,Evt - asset deletion,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PPRICLINK,PPK,Purchase price list search (link),Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  )",,CLE(Key) +   ,CLE(Key) +   
EFASCCNISS,E33,Evt - asset disposal provision,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASCFS,E38,Evt -Classification for sale,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PWRKPTH,PWH,Temporary receipt,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , PFOOTINV  (Purchase invoicing elements  )",__||__,PRONUM(Process number) +   PTHNUM(Receipt no.) +   __||__ PRONUM(Process number) +   CPY(Company) +   PRHFCY(Receiving site) +   BPSINV(Bill-by supplier) +   CUR(Currency) +   PTHNUM(Receipt no.) +   ,PRONUM(Process number) +   PTHNUM(Receipt no.) +    __||__   PRONUM(Process number) +   CPY(Company) +   PRHFCY(Receiving site) +   BPSINV(Bill-by supplier) +   CUR(Currency) +   PTHNUM(Receipt no.) +   
EFASCHGIMP,E23,Evt - change acct allocation,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASCHGPPL,E37,Evt-Production plan change,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PWRKSTT,PWS,Subcontract,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , TABUNIT  (Table of units of measure  ) , GAUTACE  (Automatic journals  ) , ITMMASTER  (Products  )",,PRONUM(Process number) +   CODFNC(Function code) +   VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +   VCRSEQ(Document sequence no.) +   TRSTYP(Mvt type) +   ,PRONUM(Process number) +   CODFNC(Function code) +   VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +   VCRSEQ(Document sequence no.) +   TRSTYP(Mvt type) +   
EFASCNL,E30,Evt - asset deletion,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
SHIPMENTD,SHD,Shipment detail,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )",__||____||__POHNUM(Order no.) +   POPLIN(Line) +   POQSEQ(Sequence number) +   ,SHIPNUM(Shipment number) +   SHIPLIN(Line) +   __||__ SHIPNUM(Shipment number) +   CTRNUM(Freight container no.) +   SHIPLIN(Line) +   __||__ ,SHIPNUM(Shipment number) +   SHIPLIN(Line) +    __||__   SHIPNUM(Shipment number) +   CTRNUM(Freight container no.) +   SHIPLIN(Line) +    __||__   POHNUM(Order no.) +   POPLIN(Line) +   POQSEQ(Sequence number) +   
EFASCRT,E24,Evt - asset creation,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASIML,E25,Evt - impairment loss,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASISS,E26,Evt - asset disposal,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASLNKCNL,E36,Evt - asset deletion,Fixed Assets,LNK,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PARSTOACC,PAS,Stock interface setup,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )",,LEG(Legislation) +   CPY(Company) +   TRSTYP(Transaction type) +   ,LEG(Legislation) +   CPY(Company) +   TRSTYP(Transaction type) +   
EFASMTC,E27,Evt - method change,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
SCHGH,SGH,Stock change header,Stock,,Sales,Sales Invoice,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , STOLOC  (Locations  ) , LPN  (  ) , TABSGHTYP  (Stock change type  )",__||__,VCRNUM(Entry) +   __||__ SIHNUM(Invoice no.) +   VCRNUM(Entry) +   ,VCRNUM(Entry) +    __||__   SIHNUM(Invoice no.) +   VCRNUM(Entry) +   
